ENTIDAD FEDERATIVA;NOMBRE PROGRAMA EDUCATIVO;Matrícula Mujeres;Matrícula Hombres;Matrícula Total;Nuevo Ingreso Mujeres;Nuevo Ingreso Hombres;Nuevo Ingreso Total;Egresados Mujeres;Egresados Hombres;Egresados Total;Titulados Mujeres;Titulados Hombres;Titulados Total
AGUASCALIENTES;LICENCIATURA EN INFORMÁTICA;2;14;16;0;0;0;0;0;0;5;4;9
AGUASCALIENTES;LICENCIATURA EN INFORMÁTICA Y TECNOLOGÍAS COMPUTACIONALES   ;38;143;181;5;33;38;8;21;29;7;16;23
AGUASCALIENTES;LICENCIATURA EN INGENIERÍA CIVIL;5;19;24;1;3;4;2;5;7;0;0;0
AGUASCALIENTES;LICENCIATURA EN INGENIERÍA CIVIL Y ADMINISTRACIÓN;6;39;45;2;12;14;0;0;0;0;0;0
AGUASCALIENTES;LICENCIATURA EN INGENIERÍA EN INTELIGENCIA ARTIFICIAL;14;62;76;8;23;31;0;11;11;3;7;10
AGUASCALIENTES;LICENCIATURA EN INGENIERÍA EN MECÁNICA AUTOMOTRIZ;2;69;71;0;23;23;1;4;5;0;0;0
AGUASCALIENTES;LICENCIATURA EN INGENIERÍA EN SISTEMAS COMPUTACIONALES;28;101;129;17;70;87;1;5;6;0;4;4
AGUASCALIENTES;LICENCIATURA EN INGENIERÍA EN SISTEMAS DE INFORMACIÓN;34;47;81;7;17;24;0;0;0;0;0;0
AGUASCALIENTES;LICENCIATURA EN INGENIERÍA EN TECNOLOGÍAS ENERGÉTICAS;9;26;35;4;4;8;6;7;13;4;2;6
AGUASCALIENTES;LICENCIATURA EN INGENIERÍA INDUSTRIAL;89;297;386;28;87;115;0;0;0;0;0;0
AGUASCALIENTES;LICENCIATURA EN INGENIERÍA INDUSTRIAL Y ADMINISTRACIÓN;8;17;25;8;14;22;0;0;0;0;0;0
AGUASCALIENTES;LICENCIATURA EN INGENIERÍA INDUSTRIAL Y CALIDAD;8;27;35;8;27;35;0;0;0;0;0;0
AGUASCALIENTES;LICENCIATURA EN INGENIERÍA INDUSTRIAL Y DE SISTEMAS;6;19;25;0;0;0;4;3;7;3;1;4
